INFO     | 2015-05-07 15:59:45,038 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2015-05-07 15:59:45,044 | config     | Setting 'alignment' to 'vill.phy'
INFO     | 2015-05-07 15:59:45,044 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2015-05-07 15:59:45,045 | parser     | Setting 'models' to 'raxml'
INFO     | 2015-05-07 15:59:45,045 | parser     | The models included in this analysis are: GTR+I+G, GTR+G
INFO     | 2015-05-07 15:59:45,045 | parser     | Setting datatype to 'DNA'
INFO     | 2015-05-07 15:59:45,045 | config     | Setting 'model_selection' to 'bic'
INFO     | 2015-05-07 15:59:45,051 | config     | Setting 'search' to 'greedy'
INFO     | 2015-05-07 15:59:45,051 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2015-05-07 15:59:45,051 | config     | Looking for alignment file './vill.phy'...
INFO     | 2015-05-07 15:59:45,051 | config     | Looking for tree file './vill_scaled.tre'...
INFO     | 2015-05-07 15:59:45,051 | analysis   | Beginning Analysis
INFO     | 2015-05-07 15:59:45,051 | analysis   | Removing Schemes in './analysis/schemes' (they will be recalculated from existing subset data)
INFO     | 2015-05-07 15:59:45,052 | config     | Checking previously run configuration data...
INFO     | 2015-05-07 15:59:45,059 | alignment  | Reading alignment file './vill.phy'
ERROR    | 2015-05-07 15:59:45,123 | alignment  | Error in Alignment Parsing:Expected end of line (at char 39), (line:2, col:29)
ERROR    | 2015-05-07 15:59:45,123 | alignment  | A common cause of this error is having whitespace, i.e. spaces or tabs, in the species names. Please check this and remove all whitespace from species names, or replace them with e.g. underscores
ERROR    | 2015-05-07 15:59:45,123 | main       | Failed to run. See previous errors.
INFO     | 2015-05-08 11:37:11,362 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2015-05-08 11:37:11,368 | config     | Setting 'alignment' to 'vill.phy'
INFO     | 2015-05-08 11:37:11,368 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2015-05-08 11:37:11,368 | parser     | Setting 'models' to 'raxml'
INFO     | 2015-05-08 11:37:11,368 | parser     | The models included in this analysis are: GTR+I+G, GTR+G
INFO     | 2015-05-08 11:37:11,368 | parser     | Setting datatype to 'DNA'
INFO     | 2015-05-08 11:37:11,369 | config     | Setting 'model_selection' to 'bic'
INFO     | 2015-05-08 11:37:11,374 | config     | Setting 'search' to 'greedy'
INFO     | 2015-05-08 11:37:11,374 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2015-05-08 11:37:11,374 | config     | Looking for alignment file './vill.phy'...
INFO     | 2015-05-08 11:37:11,374 | config     | Looking for tree file './vill_scaled.tre'...
INFO     | 2015-05-08 11:37:11,374 | analysis   | Beginning Analysis
INFO     | 2015-05-08 11:37:11,374 | analysis   | Removing Schemes in './analysis/schemes' (they will be recalculated from existing subset data)
INFO     | 2015-05-08 11:37:11,375 | config     | Checking previously run configuration data...
INFO     | 2015-05-08 11:37:11,381 | alignment  | Reading alignment file './vill.phy'
INFO     | 2015-05-08 11:37:12,003 | analysis   | No starting tree file found.
INFO     | 2015-05-08 11:37:12,003 | analysis   | Using user supplied topology at ./vill_scaled.tre
INFO     | 2015-05-08 11:37:12,012 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2015-05-08 11:55:09,457 | raxml      | Branchlength estimation finished
INFO     | 2015-05-08 11:55:09,458 | analysis   | Starting tree with branch lengths is here: ./analysis/start_tree/RAxML_result.BLTREE
INFO     | 2015-05-08 11:55:09,458 | method     | Performing greedy analysis
INFO     | 2015-05-08 11:55:09,458 | progress   | PartitionFinder will have to analyse 73 subsets to complete this analysis
INFO     | 2015-05-08 11:55:09,458 | progress   | This will result in 121 schemes being created
INFO     | 2015-05-08 11:55:09,459 | method     | Analysing starting scheme (scheme start_scheme)
INFO     | 2015-05-08 11:55:09,952 | threadpool | Found 16 cpus
INFO     | 2015-05-08 11:57:13,370 | progress   | Finished subset 1/73, 1.37 percent done
INFO     | 2015-05-08 11:57:52,326 | progress   | Finished subset 2/73, 2.74 percent done
INFO     | 2015-05-08 11:58:14,808 | progress   | Finished subset 3/73, 4.11 percent done
INFO     | 2015-05-08 11:58:16,374 | progress   | Finished subset 4/73, 5.48 percent done
INFO     | 2015-05-08 11:58:55,754 | progress   | Finished subset 5/73, 6.85 percent done
INFO     | 2015-05-08 11:59:34,576 | progress   | Finished subset 6/73, 8.22 percent done
INFO     | 2015-05-08 12:00:36,666 | progress   | Finished subset 7/73, 9.59 percent done
INFO     | 2015-05-08 12:01:16,070 | progress   | Finished subset 8/73, 10.96 percent done
INFO     | 2015-05-08 12:01:16,092 | progress   | Finished subset 9/73, 12.33 percent done
INFO     | 2015-05-08 12:01:16,092 | method     | ***Greedy algorithm step 1***
INFO     | 2015-05-08 12:07:09,658 | progress   | Finished subset 10/73, 13.70 percent done
INFO     | 2015-05-08 12:13:06,741 | progress   | Finished subset 11/73, 15.07 percent done
INFO     | 2015-05-08 12:21:32,039 | progress   | Finished subset 12/73, 16.44 percent done
INFO     | 2015-05-08 12:27:41,246 | progress   | Finished subset 13/73, 17.81 percent done
INFO     | 2015-05-08 12:33:32,222 | progress   | Finished subset 14/73, 19.18 percent done
INFO     | 2015-05-08 12:39:43,930 | progress   | Finished subset 15/73, 20.55 percent done
INFO     | 2015-05-08 12:44:48,207 | progress   | Finished subset 16/73, 21.92 percent done
INFO     | 2015-05-08 12:49:57,337 | progress   | Finished subset 17/73, 23.29 percent done
INFO     | 2015-05-08 12:53:45,763 | progress   | Finished subset 18/73, 24.66 percent done
INFO     | 2015-05-08 12:59:33,485 | progress   | Finished subset 19/73, 26.03 percent done
INFO     | 2015-05-08 13:03:18,600 | progress   | Finished subset 20/73, 27.40 percent done
INFO     | 2015-05-08 13:06:59,715 | progress   | Finished subset 21/73, 28.77 percent done
INFO     | 2015-05-08 13:10:16,367 | progress   | Finished subset 22/73, 30.14 percent done
INFO     | 2015-05-08 13:13:04,021 | progress   | Finished subset 23/73, 31.51 percent done
INFO     | 2015-05-08 13:15:52,406 | progress   | Finished subset 24/73, 32.88 percent done
INFO     | 2015-05-08 13:21:53,927 | progress   | Finished subset 25/73, 34.25 percent done
INFO     | 2015-05-08 13:25:27,680 | progress   | Finished subset 26/73, 35.62 percent done
INFO     | 2015-05-08 13:28:54,913 | progress   | Finished subset 27/73, 36.99 percent done
INFO     | 2015-05-08 13:31:58,131 | progress   | Finished subset 28/73, 38.36 percent done
INFO     | 2015-05-08 13:34:35,984 | progress   | Finished subset 29/73, 39.73 percent done
INFO     | 2015-05-08 13:37:17,543 | progress   | Finished subset 30/73, 41.10 percent done
INFO     | 2015-05-08 13:43:58,222 | progress   | Finished subset 31/73, 42.47 percent done
